date|bullish_index|bearish_index|bull_bear_difference|no_bull_tweets|no_bear_tweets
2013-05-30|1.75557|1.690932|0.064638|298|118
2013-05-31|1.72928|1.689276|0.040004|250|152
2013-06-01|1.409474|1.748571|-0.339098|19|14
2013-06-02|1.613226|1.497143|0.116083|31|14
2013-06-03|1.658664|1.840385|-0.181721|217|130
2013-06-04|1.627871|1.697451|-0.06958|263|153
2013-06-05|1.584348|1.717333|-0.132986|207|165
2013-06-06|1.617088|1.733188|-0.1161|285|229
2013-06-07|1.661921|1.721476|-0.059556|302|210
2013-06-08|1.480333|1.557647|-0.077314|30|17
2013-06-09|1.536563|1.752353|-0.21579|32|17
2013-06-10|1.620708|1.843138|-0.222431|424|325
2013-06-11|1.669808|1.796994|-0.127187|260|173
2013-06-12|1.51937|1.710437|-0.191067|254|206
2013-06-13|1.699477|1.607455|0.092023|287|165
2013-06-14|1.595222|1.756935|-0.161714|203|124
2013-06-15|1.549524|1.517391|0.032133|21|23
2013-06-16|1.376538|1.840625|-0.464087|26|16
2013-06-17|1.780915|1.761087|0.019828|164|92
2013-06-18|1.572833|1.824259|-0.251426|120|108
2013-06-19|1.549478|1.771706|-0.222228|230|252
2013-06-20|1.59571|1.792121|-0.196411|331|264
2013-06-21|1.514599|1.749422|-0.234823|237|225
2013-06-22|1.498235|2.004444|-0.506209|34|36
2013-06-23|1.642927|1.371389|0.271538|41|36
2013-06-24|1.566856|1.858178|-0.291322|264|258
2013-06-25|1.572348|1.791459|-0.219112|328|281
2013-06-26|1.541929|1.818599|-0.27667|425|357
2013-06-27|1.663123|1.77877|-0.115647|349|309
2013-06-28|1.698074|1.797175|-0.099101|379|269
2013-06-29|1.695946|1.617059|0.078887|37|17
2013-06-30|1.619091|1.5705|0.048591|44|20
2013-07-01|1.730111|1.77871|-0.048599|361|186
2013-07-02|1.600856|1.703167|-0.10231|397|300
2013-07-03|1.598278|1.707207|-0.108929|180|111
2013-07-04|1.559355|1.668286|-0.108931|62|35
2013-07-05|1.530952|1.669268|-0.138316|189|164
2013-07-06|1.773158|2.045625|-0.272467|19|16
2013-07-07|1.849143|1.742857|0.106286|35|35
2013-07-08|1.632667|1.82375|-0.191083|240|136
2013-07-09|1.669348|1.759291|-0.089944|276|127
2013-07-10|1.631699|1.632763|-0.001064|153|76
2013-07-11|1.790734|1.734825|0.055909|218|114
2013-07-12|1.530382|1.63936|-0.108978|157|125
2013-07-13|1.797|1.8925|-0.0955|20|8
2013-07-14|1.67|1.076667|0.593333|13|9
2013-07-15|1.785309|1.609398|0.175911|162|83
2013-07-16|1.896951|1.690222|0.206729|82|45
2013-07-18|1.630043|1.589128|0.040915|232|172
2013-07-19|1.696192|1.795691|-0.099499|239|188
2013-07-20|1.48|1.923846|-0.443846|26|26
2013-07-21|1.75|1.894583|-0.144583|27|24
2013-07-22|1.520609|1.859519|-0.338911|115|104
2013-07-23|1.686095|1.796637|-0.110541|671|559
2013-07-24|1.645127|1.715957|-0.07083|472|282
2013-07-25|1.592612|1.755664|-0.163051|245|113
2013-07-26|1.792885|1.726774|0.06611|156|93
2013-07-27|1.845|1.980588|-0.135588|30|17
2013-07-28|1.844706|1.653333|0.191373|34|3
2013-07-29|1.707585|1.642016|0.065569|294|124
2013-07-30|1.744078|1.5324|0.211678|282|125
2013-07-31|1.737463|1.650113|0.08735|272|177
2013-08-01|1.645538|1.708905|-0.063367|260|137
2013-08-02|1.722423|1.69227|0.030153|355|163
2013-08-03|1.743864|1.981538|-0.237675|44|26
2013-08-04|1.815306|1.796875|0.018431|49|16
